企業名,ティッカーシンボル,平均成長率,成長率20%超,最新営業利益率,営業利益率10%超,上場日,上場5年以内
名糖産業,2207,0.00833579927741035,False,0.0043560522726272715,False,2001-01-01,False
ブルボン,2208,0.07212544548481159,False,0.016573734635408646,False,2001-01-05,False
井村屋グループ,2209,-0.01764725620349931,False,0.0445955247666931,False,2001-01-01,False
不二家,2211,-0.01986422801847043,False,0.01302897644361059,False,2001-01-01,False
山崎製パン,2212,-0.0474869314825529,False,0.03569526745505554,False,2001-01-01,False
第一屋製パン,2215,-0.030973468352331612,False,0.02272899175554043,False,2001-01-01,False
カンロ,2216,-0.06486396339554512,False,0.11679169888324849,True,2001-01-09,False
モロゾフ,2217,-0.09630168038603552,False,0.0708308191765997,False,2001-01-01,False
亀田製菓,2220,0.038141329873831786,False,0.037529476166414014,False,2001-01-01,False
岩塚製菓,2221,0.047991585284270465,False,-0.010475875231307663,False,2000-01-07,False
寿スピリッツ,2222,0.10323397337745625,False,0.19841904409324054,True,2010-02-22,False
コモ,2224,-0.0363732579244466,False,0.006654439164293344,False,2000-01-04,False
湖池屋,2226,-0.08645169521039779,False,0.03979898595593844,False,2004-06-18,False
カルビー,2229,-0.024990696050704513,False,0.07959830299124644,False,2011-03-11,False
森永乳業,2264,0.04319148133997016,False,0.04554768523010713,False,2001-01-01,False
六甲バター,2266,0.08594225626759433,False,0.014145144311508507,False,2000-04-05,False
ヤクルト本社,2267,-0.052964998303855926,False,0.1367666450687373,True,2001-01-01,False
Ｂ－Ｒ　サーティワン　アイスクリーム,2268,-0.10750365301495535,False,0.07386693339157642,False,2000-01-04,False
明治ホールディングス,2269,0.06043512905649032,False,0.07101963269083572,False,2000-01-04,False
雪印メグミルク,2270,0.018152884353619097,False,0.022344380018757232,False,2001-01-01,False
プリマハム,2281,-0.009497164834486963,False,0.02257742489668942,False,2001-01-01,False
日本ハム,2282,-0.004526338055537556,False,0.008693498609294232,False,2000-01-04,False
林兼産業,2286,0.022016857818933144,False,0.00826895416330333,False,2001-01-01,False
丸大食品,2288,0.03574538358542948,False,-0.006311407835876367,False,2001-01-01,False
福留ハム,2291,0.009573688817158144,False,-0.014661578630247038,False,2001-01-12,False
Ｓ　Ｆｏｏｄｓ,2292,-0.03790750624605688,False,0.03649976954369652,False,2001-01-04,False
滝沢ハム,2293,0.0016631597154758149,False,-0.007365262494938158,False,2000-01-17,False
柿安本店,2294,0.054071523493623395,False,0.08032086125916935,False,2000-01-04,False
伊藤ハム米久ホールディングス,2296,-0.02537503626564534,False,0.024921912424865772,False,2016-04-01,False
きょくとう,2300,0.13276567846244877,False,-0.03350983634423568,False,2002-04-25,False
学情,2301,-0.13034961818273072,False,0.2630109298276289,True,2005-09-16,False
ドーン,2303,-0.08403926943062316,False,0.3239276258432361,True,2002-06-14,False
ＣＳＳホールディングス,2304,-0.04348425236102663,False,0.01860999389990998,False,2002-06-13,False
スタジオアリス,2305,0.0059855126258372415,False,0.10418168922574457,True,2003-07-30,False
クロスキャット,2307,-0.10823499920883158,False,0.10561264157075992,True,2002-06-18,False
エプコ,2311,-0.04675462310192199,False,0.031972050864833,False,2002-07-12,False
ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,2315,0.04122052290688453,False,-0.4397784163569447,False,2002-06-11,False
システナ,2317,-0.043708275479034775,False,0.13208813031693636,True,2004-11-15,False
ソフトフロントホールディングス,2321,-0.2484832029921056,False,-0.0682875355609698,False,2002-09-11,False
ｆｏｎｆｕｎ,2323,-0.04782187542403693,False,0.06751380540755504,False,2002-09-20,False
ＮＪＳ,2325,-0.04712999186563301,False,0.0734830220553526,False,2002-09-26,False
デジタルアーツ,2326,-0.18404440401915678,False,0.4228631659639709,True,2007-12-28,False
日鉄ソリューションズ,2327,-0.01679209027520323,False,0.1087463316968816,True,2002-10-11,False
東北新社,2329,0.026079025939951445,False,0.07514037409248596,False,2002-10-08,False
フォーサイド,2330,-0.05306992902959973,False,0.010929332685656873,False,2002-10-10,False
綜合警備保障,2331,-0.022141677563460232,False,0.07515653378732533,False,2002-10-25,False
クエスト,2332,-0.07751665934638319,False,0.06873352211904343,False,2002-10-11,False
イオレ,2334,-0.14782020813097618,False,0.01545317280721885,False,2017-12-18,False
キューブシステム,2335,-0.03357497102257482,False,0.08896989130153818,False,2006-11-22,False
いちご,2337,0.11251468400859473,False,0.18345498068817648,True,2002-11-11,False
クオンタムソリューションズ,2338,0.2627825929811743,True,-1.4916549686139038,False,2002-11-19,False
極楽湯ホールディングス,2340,0.10829086828881185,False,0.003150937535878194,False,2002-11-27,False
アルバイトタイムス,2341,0.07305444810364396,False,0.01357609270522692,False,2002-12-04,False
トランスジェニック,2342,-0.007099181610300505,False,-0.0022004107900095928,False,2002-12-10,False
平安レイサービス,2344,0.010860603044889597,False,0.15434808417976684,True,2002-12-16,False
クシム,2345,1.0842601875427038,True,-2.314239820543141,False,2002-12-13,False
エヌアイデイ,2349,-0.039911650053162405,False,0.12443471629392674,True,2003-01-29,False
ＡＳＪ,2351,-0.03289377776994462,False,0.028518877619571573,False,2003-01-31,False
日本駐車場開発,2353,-0.10126290915003999,False,0.19466509832580556,True,2004-02-25,False
ＹＥ　ＤＩＧＩＴＡＬ,2354,-0.047516464191988406,False,0.056342769498853695,False,2003-02-21,False
コア,2359,-0.027405604913138665,False,0.1200917151684499,True,2003-03-20,False
メディネット,2370,0.06072507102987509,False,-2.1554940495175674,False,2003-10-08,False
カカクコム,2371,0.010594156811887615,False,0.39459059519894774,True,2005-09-29,False
アイロムグループ,2372,-0.16721877231656593,False,0.19846329900277915,True,2005-02-01,False
ケア２１,2373,-0.06137751365656737,False,-0.009757588429126003,False,2003-10-17,False
セントケア・ホールディング,2374,-0.06345380382666166,False,0.0483142418800471,False,2003-10-24,False
ギグワークス,2375,-0.09178497501623036,False,0.004201232090029828,False,2003-11-05,False
サイネックス,2376,-0.007806605719021513,False,0.03388056812196154,False,2003-11-07,False
ルネサンス,2378,0.07191165250212617,False,0.016692310249447475,False,2004-12-16,False
ディップ,2379,0.017116949726852442,False,0.2337758375219587,True,2004-05-27,False
ＳＢＳホールディングス,2384,-0.14071946447123926,False,0.04565523915806729,False,2010-02-22,False
総医研ホールディングス,2385,0.05164527123153758,False,0.08981703545304746,False,2003-12-18,False
ウェッジホールディングス,2388,2.563198288197549,True,0.0477597480597888,False,2004-01-29,False
デジタルホールディングス,2389,1.587554857971198,True,0.03787506148548942,False,2004-02-13,False
プラネット,2391,-0.008464758326876506,False,0.19979698861118242,True,2004-02-24,False
日本ケアサプライ,2393,-0.09648184236776396,False,0.081786238723552,False,2004-02-27,False
新日本科学,2395,-0.15920814874555625,False,0.20904955074753587,True,2004-03-08,False
ＤＮＡチップ研究所,2397,0.05983390852103199,False,-1.107942662616209,False,2004-03-18,False
鉄人化ホールディングス,2404,-0.05370994913640851,False,-0.012730237708772622,False,2004-07-12,False
ＫＧ情報,2408,-0.10362708911891294,False,0.1384946650901896,True,2004-08-26,False
キャリアデザインセンター,2410,-0.2707549786698274,False,0.0911813425178857,False,2005-11-18,False
ゲンダイエージェンシー,2411,0.1645180435724601,False,0.05314777998674619,False,2004-09-16,False
ベネフィット・ワン,2412,-0.041122534414112254,False,0.2474041910515386,True,2006-03-03,False
エムスリー,2413,-0.17041880774455,False,0.30548310790319644,True,2004-09-16,False
ヒューマンホールディングス,2415,-0.020393732259677704,False,0.024612963396831198,False,2004-10-07,False
ツカダ・グローバルホールディング,2418,-0.21425993334877455,False,0.09292897658071476,False,2004-10-28,False
ブラス,2424,-0.1552422460523185,False,0.08849440466974075,False,2016-03-09,False
ケアサービス,2425,-0.006014384663278712,False,0.0466716082907996,False,2004-11-26,False
アウトソーシング,2427,-0.2043344116400072,False,0.021979487945699618,False,2010-02-22,False
ウェルネット,2428,-0.000530771348663935,False,0.09967246019236863,False,2003-06-20,False
ワールドホールディングス,2429,-0.12345524373000409,False,0.048530471315885504,False,2007-12-28,False
ディー・エヌ・エー,2432,-0.032376868839433394,False,0.03115317906221741,False,2005-02-16,False
博報堂ＤＹホールディングス,2433,0.2511214613899167,True,0.05590649930332537,False,2005-02-16,False
シダー,2435,-0.02719709545341849,False,0.008332319669140007,False,2005-03-17,False
共同ピーアール,2436,-0.09381253073830616,False,0.12192819020118414,True,2005-03-25,False
Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,2437,-0.19935973025706277,False,0.1492067234862765,True,2005-04-05,False
アスカネット,2438,-0.013854826102882356,False,0.08390785616975602,False,2005-04-14,False
ぐるなび,2440,0.4051851865421811,True,-0.14021460197106944,False,2008-09-05,False
タカミヤ,2445,0.03736020418531568,False,0.05377858404544804,False,2007-12-17,False
プラップジャパン,2449,-0.055358855215715264,False,0.11001529421817069,True,2005-07-08,False
